anoun,adjective
Moabite,Moabite
of a goat,Goaty
eternal,Eternal
regal,Regal
made of byblus,Byblian
fine linen,Linen
tithe,Tithing
right,Right
right,Right
two hundred,Two hundred
double,Double
double,Double
two thousand,Two thousand
peaceful,Peaceful
peaceful,Peaceful
wonderful,Wonderful
bad,Bad
bad,Bad
fine,Fine
fine,Fine
hollow,Hollow
hollow,Hollow
invited,Invited
secret,Secret
secret,Secret
Laconian,Laconian
like a covered chariot,Chariot-like
functional,Functional
stone,Stony
linen,Linen
rest,Restful
in the midst,Medial
long,Long
superficial,Superficial
great,Great
little,Little
myriad,Myriad
only,Only
dead,Dead
alien,Alien
cup-bearer,Cup-bearer
kind that,Kind
all,All
rich,Rich
with the whole multitude,Multitudinous
by the seaside,Coastal
paternal,Paternal
on foot,Pedestrian
fivefold,Fivefold
overflowing,Overflowing
surrounding territory,Surrounding
of rock,Rocky
of clay,Clayey
bitter,Bitter
faithful,Faithful
sideways,Sideways
rich,Rich
various,Various
much,Much
much,Much
for a long time,Long-lasting
harmful,Harmful
harmful,Harmful
drowned in the sea,Drowned
predisposed,Predisposed
like fire,Fiery
your,Your
of iron,Iron
hard,Hard
hard,Hard
warped,Warped
wise,Wise
your,Your
four,Four
enclosed by walls,Walled
child-murdering,Child-murdering
four hundred,Four hundred
such,Such
three hundred,Three hundred
three thousand,Three thousand
of hair,Hairy
path,Path-like
of brass,Brass
thousand,Thousand
of gold,Golden
untrodden,Untrodden
good,Good
good,Good
undying,Undying
indissoluble,Indissoluble
heard,Heard
exact,Exact
cut off sharp,Sharp
without authority,Authoritative
of another family,Familial
another's,Another's
both,Both
irresponsible,Irresponsible
obstinate,Obstinate
unfaltering,Unfaltering
of silver,Silvery
male,Male
near,Near
without envy,Unenvious
holy,Holy
pure,Pure
all at once,Simultaneous
select,Select
select,Select
fore,Fore
mine,Mine
at work,Occupational
of a year,Annual
six hundred,Six hundred
different,Different
ready to lead,Leading
forceful,Forceful
for the priest's office,Priestly
sacred,Sacred
equestrian,Equestrian
few,Few
upright,Upright
firm,Firm
firm,Firm
intact,Intact
responsible,Responsible
as much as,Equivalent
hyacinth blue,Hyacinthine
wet,Wet
high,High
high,High
spotted,Spotted
sordid,Sordid
senior,Senior
sympathetic,Sympathetic
fierce,Fierce
cause,Causal
captive,Captive
foreigner,Foreign
abominable,Abominable
profane,Profane
blasphemous,Blasphemous
little,Little
fine linen,Fine linen
suitable to one's birth,Noble
carved,Carved
known,Known
known,Known
knowing one's letters,Literate
capable of drawing,Capable
naked,Naked
clear,Clear
shaggy,Shaggy
timid,Timid
fearful,Fearful
tenfold,Tenfold
leather,Leather
prisoner,Imprisoned
distinguishable,Distinguishable
two hundred,Two hundred
speckled,Speckled
educated,Educated
right,Right
twenty thousand,Twenty thousand
two thousand,Two thousand
captive of the spear,Spear-captive
possible,Possible
possible,Possible
ungodly,Ungodly
ill-smelling,Ill-smelling
peaceful,Peaceful
of good hope,Hopeful
well-shaped,Well-shaped
of good courage,Courageous
straight,Straight
wide,Wide
in good cheer,Cheerful
divine,Divine
foundation,Foundational
God-revering,God-revering
hot,Hot
bold,Bold
fine,Fine
clean,Clean
innovative,Innovative
innovative,Innovative
malefactor,Malefactor
bad,Bad
bad,Bad
fine,Fine
fine,Fine
shut up,Shut
left behind,Left behind
hollow,Hollow
hollow,Hollow
invited,Invited
invited,Invited
priestly garment,Priestly
dominant,Dominant
barley,Barley
smooth,Smooth
stone,Stony
in the midst,Medial
blessed,Blessed
long,Long
long,Long
superficial,Superficial
fit for battle,Combat-ready
great,Great
great,Great
great of flesh,Fleshly
being in part the cause of,Causal
associate,Associative
blood-stained,Blood-stained
little,Little
lightly armed,Lightly armed
living alone,Isolated
