Verb,Present Participle (Ing Form),Past (2nd Form),Past Participle (3rd Form),,,
A-bomb,﻿A-bombing,A-bombed,A-bombed,,,
aah,aahing,aahed,aahed,,,
abacinate,abacinating,abacinated,abacinated,,,
abalienate,abalienating,abalienated,abalienated,,,
aband,abanding,abanded,abanded,,,
abandon,abandoning,abandoned,abandoned,,,
abase,abasing,abased,abased,,,
abash,abashing,abashed,abashed,,,
abastard,abastarding,abastarded,abastarded,,,
abastardise,abastardising,abastardised,abastardised,,,
abastardize,abastardizing,abastardized,abastardized,,,
abate,abating,abated,abated,,,
abbreviate,abbreviating,abbreviated,abbreviated,,,
abdicate,abdicating,abdicated,abdicated,,,
abduce,abducing,abduced,abduced,,,
abduct,abducting,abducted,abducted,,,
abear,abearing,abore,aborn or aborne,,,
abegge,abegging,abegged,abegged,,,
abelianise,abelianising,abelianised,abelianised,,,
abelianize,abelianizing,abelianized,abelianized,,,
abend,abending,abended,abended,,,
aber,abering,abered,abered,,,
aberr,aberring,aberred,aberred,,,
aberrate,aberrating,aberrated,aberrated,,,
aberuncate,aberuncating,aberuncated,aberuncated,,,
abet,abetting,abetted,abetted,,,
abhor,abhorring,abhorred,abhorred,,,
abhour,abhouring,abhoured,abhoured,,,
abide,abiding,abode or abided,"abode, abided, or (rare), abidden",,,
abirritate,abirritating,abirritated,abirritated,,,
abite,abiting,abit,abitten,,,
abject,abjecting,abjected,abjected,,,
abjoint,abjointing,abjointed,abjointed,,,
abjudge,abjudging,abjudged,abjudged,,,
abjudicate,abjudicating,abjudicated,abjudicated,,,
abjugate,abjugating,abjugated,abjugated,,,
abjure,abjuring,abjured,abjured,,,
ablactate,ablactating,ablactated,ablactated,,,
ablaqueate,ablaqueating,ablaqueated,ablaqueated,,,
ablate,ablating,ablated,ablated,,,
ablaut,ablauting,ablauted,ablauted,,,
able,abling,abled,abled,,,
ablegate,ablegating,ablegated,ablegated,,,
abligate,abligating,abligated,abligated,,,
ablude,abluding,abluded,abluded,,,
ablute,abluting,abluted,abluted,,,
abnegate,abnegating,abnegated,abnegated,,,
abnormalise,abnormalising,abnormalised,abnormalised,,,
abnormalize,abnormalizing,abnormalized,abnormalized,,,
abode,aboding,aboded,aboded,,,
abolish,abolishing,abolished,abolished,,,
abolitionise,abolitionising,abolitionised,abolitionised,,,
abolitionize,abolitionizing,abolitionized,abolitionized,,,
abominate,abominating,abominated,abominated,,,
abomine,abomining,abomined,abomined,,,
abord,abording,aborded,aborded,,,
abort,aborting,aborted,aborted,,,
abortive,abortiving,abortived,abortived,,,
abound,abounding,abounded,abounded,,,
about-face,about-facing,about-faced,about-faced,,,
about-turn,about-turning,about-turned,about-turned,,,
abrade,abrading,abraded,abraded,,,
abraid,abraiding,abraided or abraid,abraided or abraid,,,
abrase,abrasing,abrased,abrased,,,
abray,abraying,abrayed,abrayed,,,
abreact,abreacting,abreacted,abreacted,,,
abrenounce,abrenouncing,abrenounced,abrenounced,,,
abridge,abridging,abridged,abridged,,,
abroach,abroaching,abroached,abroached,,,
abrogate,abrogating,abrogated,abrogated,,,
abrook,abrooking,abrooked,abrooked,,,
abrupt,abrupting,abrupted,abrupted,,,
abscess,abscessing,abscessed,abscessed,,,
abscind,abscinding,abscinded,abscinded,,,
abscise,abscising,abscised,abscised,,,
absciss,abscissing,abscissed,abscissed,,,
abscond,absconding,absconded,absconded,,,
abseil,abseiling,abseiled,abseiled,,,
absent,absenting,absented,absented,,,
absinthiate,absinthiating,absinthiated,absinthiated,,,
absist,absisting,absisted,absisted,,,
absolutise,absolutising,absolutised,absolutised,,,
absolutize,absolutizing,absolutized,absolutized,,,
absolve,absolving,absolved,absolved,,,
absorb,absorbing,"absorbed or archaic, absorpt","absorbed or archaic, absorpt",,,
absquatulate,absquatulating,absquatulated,absquatulated,,,
abstain,abstaining,abstained,abstained,,,
absterge,absterging,absterged,absterged,,,
absterse,abstersing,abstersed,abstersed,,,
abstract,abstracting,abstracted,abstracted,,,
abstractify,abstractifying,abstractified,abstractified,,,
abstrict,abstricting,abstricted,abstricted,,,
abstringe,abstringing,abstringed,abstringed,,,
abstrude,abstruding,abstruded,abstruded,,,
absume,absuming,absumed,absumed,,,
abuse,abusing,abused,abused,,,
abut,abutting,abutted,abutted,,,
abutt,abutting,abutted,abutted,,,
abuy,abuying,abought,abought,,,
abvolate,abvolating,abvolated,abvolated,,,
aby,abying,abought,abought,,,
abye,abying,abought,abought,,,
academicise,academicising,academicised,academicised,,,
academicize,academicizing,academicized,academicized,,,
academise,academising,academised,academised,,,
academize,academizing,academized,academized,,,
accede,acceding,acceded,acceded,,,
acceed,acceeding,acceeded,acceeded,,,
accelerate,accelerating,accelerated,accelerated,,,
accend,accending,accended,accended,,,
accent,accenting,accented,accented,,,
accentuate,accentuating,accentuated,accentuated,,,
accept,accepting,accepted,accepted,,,
access,accessing,accessed,accessed,,,
accession,accessioning,accessioned,accessioned,,,
accessorise,accessorising,accessorised,accessorised,,,
accessorize,accessorizing,accessorized,accessorized,,,
accinge,accinging,accinged,accinged,,,
